,Info_Author,Info_Title,DOI,Info_Journal,Info_Volume,Info_Pages,Info_Received,Info_Material_ID,Info_Sample_ID,Info_Test_ID,Info_Origin,Info_Notes,Ag(at%),Al(at%),Au(at%),B(at%),Bi(at%),Ce(at%),Co(at%),Cr(at%),Cu(at%),Dy(at%),Er(at%),Fe(at%),Gd(at%),Hf(at%),In(at%),La(at%),Mn(at%),Mo(at%),Nb(at%),Nd(at%),Ni(at%),Pb(at%),Pd(at%),Pr(at%),Pt(at%),Re(at%),Rh(at%),Sb(at%),Sc(at%),Si(at%),Sn(at%),Ta(at%),Te(at%),Ti(at%),Tl(at%),V(at%),W(at%),Y(at%),Zr(at%),Processing_BPHT_Temp,Processing_BPHT_Time,Processing_Rolling_Temp,Processing_HR_Red,Processing_CR_Red,Processing_Extrusion_Temp,Processing_Extrusion_Area_Reduction(%),Processing_APHT_Temp,Processing_APHT_Time,Processing_APHT_Method,Processing_FinalHT_Temp,Processing_FinalHT_Time,Processing_FinalHT_Method,SME_Test_Applied_Stress(MPa),SME_Test_Applied_Bend_Strain(%),SME_Test_LCT,SME_Test_UCT,SME_Test_Temp_Rate,SME_Test_Cycle,SE_Test_Temperature_Above_Af(Temp-Af),SE_Test_Strain_Rate(/s),SE_Test_Displacement_Rate(mm/s),SE_Test_Cycle,MSM_Test_Curie_Temperature,MSM_Test_Applied_Magnetic_Field(T),MSM_Test_Mag_Test_Temp(C),Hard_Param_VHTemp,Hard_Param_VHMass,Hard_Param_VHTime,Micro_Grain Size(nm),Micro_Matrix_Comp,Micro_e/a_ratio,Micro_cv_concentration,Micro_Parent_Test_Temperature_Above_Af(Temp-Af),Micro_Parent_Structure,Micro_Parent_a_(A),Micro_Parent_b,Micro_Parent_c,Micro_Parent_Space_Group,Micro_Intermediate_Test_Temperature_Above_Af(Temp-Af),Micro_Intermediate_Structure,Micro_Intermediate_a_(A),Micro_Intermediate_b,Micro_Intermediate_c,Micro_Intermediate_Space_Group,Micro_Martensite_Test_Temperature_Above_Af(Temp-Af),Micro_Martensite_Structure,Micro_Martensite_a_(A),Micro_Martensite_b,Micro_Martensite_c,Micro_Martensite_Beta,Micro_Martensite_Space_Group,Micro_Martensite_Sub-structure,Micro_Precipitate_Test_Temperature,Micro_Precipitate_Structure,Micro_Precipitate_Volume_Fraction,NeedsAttention,SME_Transforms,SME_Mf,SME_Mp,SME_Ms,SME_As,SME_Ap,SME_Af,SME_Thermal_Hysteresis,SME_Transformation_Range,SME_RfM,SME_RfA,SME_dH(MA)(J/g),SME_dH(AM)(J/g),SME_dH(AR)(J/G),SME_dS(MA)(J/kgK),SME_dS(AM)(J/kgK),SME_dS(AR)(J/kgK),SME_epsilonAct(%),SME_epsilonIrr(%),SME_Failure(FatigueTest),SME_Bend_Recovery(%),SE_R.Strain(%),SE_Strain_Max(%),SE_Stress_Max(MPa),SE_Mf_Stress,SE_Ms_Stress,SE_As_Stress,SE_Af_Stress,SE_M_Yield,SE_A_Yield,MSME_Magnetization (emu/g),MSME_Magnetization Change (AM)(emu/g),MSME_Magnetization Change (MA)(emu/g),MSME_Mf Temp (Â°C),MSME_Mf Mag (emu/g),MSME_Mp Temp (Â°C),MSME_Mp Mag (emu/g),MSME_Ms_Temp(C),MSME_Ms_Mag(emu/g),MSME_Direct average rate (emu/gÂ°C),MSME_Direct_integrated_magnetization_change(emu/g),MSME_As_Temp(C),MSME_As_Mag(emu/g),MSME_Ap_Temp (C),MSME_Ap_Mag(emu/g),MSME_Af_Temp (C),MSME_Af_Mag(emu/g),MSME_Reverse_average_rate(emu/gC),MSME_Reverse_integrated_magnetization_change(emu/g),MSME_Direct_MT_range(C),MSME_Reverse_MT_range(C),MSME_Hysteresis(C),MSME_Estimated_entropy_difference_(J/kg*K),"MSME_Tc(DSC)-Ms(SQUID,0.05T)",Hard_VHN
0,"Can, Karaman",,,,,,,,,12,Internal,2 heating & cooling cycles. No transformation observed.,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0,25.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,48.0,0,0.0,0.0,0.0,0.0,20.0,0.0,900,50,0.0,20,0.0,20.0,0.0,0,20.0,0.0,0,0.0,0,100,300,10.0,3,30,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Can, Karaman",,,,,,,,,26,Internal,Did 2 heating&cooling cycles at 50 and 100 Mpa. Also did 1 heating&cooling cycle at 150MPa. No transformation was detected.,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0,25.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,48.0,0,0.0,0.0,0.0,0.0,20.0,0.0,900,50,0.0,20,0.0,20.0,0.0,0,20.0,0.0,0,50.0,0,100,300,10.0,1,30,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Can, Karaman",,,,,,,,,26,Internal,Did 2 heating&cooling cycles at 50 and 100 Mpa. Also did 1 heating&cooling cycle at 150MPa. No transformation was detected.,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0,25.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,48.0,0,0.0,0.0,0.0,0.0,20.0,0.0,900,50,0.0,20,0.0,20.0,0.0,0,20.0,0.0,0,100.0,0,100,300,10.0,2,30,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Can, Karaman",,,,,,,,,26,Internal,Did 2 heating&cooling cycles at 50 and 100 Mpa. Also did 1 heating&cooling cycle at 150MPa. No transformation was detected.,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0,25.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,48.0,0,0.0,0.0,0.0,0.0,20.0,0.0,900,50,0.0,20,0.0,20.0,0.0,0,20.0,0.0,0,150.0,0,100,300,10.0,3,30,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Demblon, Karaman",,,,,,,,,,Internal,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,50.7,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,31.3,0,0.0,0.0,0.0,0.0,20.0,0.0,20,0,0.0,20,0.0,20.0,0.0,0,1050.0,2.0,0,0.0,0,,,10.0,3,30,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Demblon, Karaman",,,,,,,,,,Internal,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,50.8,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,33.2,0,0.0,0.0,0.0,0.0,20.0,0.0,20,0,0.0,20,0.0,20.0,0.0,0,1050.0,2.0,0,0.0,0,,,10.0,3,30,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Demblon, Karaman",,,,,,,,,,Internal,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,50.8,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,32.2,0,0.0,0.0,0.0,0.0,20.0,0.0,20,0,0.0,20,0.0,20.0,0.0,0,1050.0,2.0,0,0.0,0,,,10.0,3,30,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Demblon, Karaman",,,,,,,,,,Internal,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,50.8,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,31.2,0,0.0,0.0,0.0,0.0,20.0,0.0,20,0,0.0,20,0.0,20.0,0.0,0,1050.0,2.0,0,0.0,0,,,10.0,3,30,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Demblon, Karaman",,,,,,,,,,Internal,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,50.9,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,32.1,0,0.0,0.0,0.0,0.0,20.0,0.0,20,0,0.0,20,0.0,20.0,0.0,0,1050.0,2.0,0,0.0,0,,,10.0,3,30,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Demblon, Karaman",,,,,,,,,,Internal,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,50.9,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,31.1,0,0.0,0.0,0.0,0.0,20.0,0.0,20,0,0.0,20,0.0,20.0,0.0,0,1050.0,2.0,0,0.0,0,,,10.0,3,30,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
